Date,Heure,Serveur,Sumoner,Champ,Position,Elo,win?,ranked?,Duo,#,# today,
,,NA,ENelligan,Jinx,adc,1763,0,0,,,,1
,,NA,ENelligan,Malphite,top,1657,1,0,,,,2
,,NA,ENelligan,Malphite,top,1654,1,0,,,,3
,,NA,ENelligan,Malphite,top,1650,1,0,,,,4
,,NA,ENelligan,Janna,sup,1668,0,1,,,,5
,,NA,ENelligan,Malphite,top,1710,1,0,,,,6
,,NA,ENelligan,Warwick,jun,1770,1,0,,,,7
,,NA,ENelligan,Warwick,jun,1668,0,1,,,,8
,,NA,ENelligan,Janna,sup,1652,0,1,,,,9
,,NA,ENelligan,Malphite,top,1640,0,1,,,,10
,,NA,ENelligan,Malphite,top,1626,0,1,,,,11
,,NA,ENelligan,Warwick,jun,1611,1,1,,,,12
,,NA,ENelligan,Warwick,jun,1611,0,1,,,,13
,,NA,ENelligan,Warwick,jun,1619,1,1,,,,14
,,NA,ENelligan,Warwick,jun,1627,1,1,,,,15
,,NA,ENelligan,Warwick,jun,1636,0,1,,,,16
,,NA,ENelligan,Warwick,jun,1730,1,0,,,,17
,,NA,ENelligan,Warwick,jun,1790,1,0,,,,18
,,NA,ENelligan,Janna,sup,1640,1,1,,,,19
23/08/2015,,NA,ENelligan,Warwick,jun,1860,1,0,,1,1,20
23/08/2015,,NA,ENelligan,Malphite,top,1644,1,1,,2,2,21
23/08/2015,,NA,ENelligan,Janna,sup,1637,0,1,1,3,3,22
23/08/2015,,NA,ENelligan,Warwick,jun,1629,0,1,1,4,4,23
24/08/2015,,NA,ENelligan,Heimerdinger,mid,1682,0,0,,1,1,24
24/08/2015,,NA,ENelligan,Warwick,jun,1622,1,1,,2,2,25
24/08/2015,,NA,ENelligan,Skarner,jun,1638,1,1,,3,3,26
24/08/2015,,NA,ENelligan,Warwick,jun,1652,1,1,,4,4,27
24/08/2015,,NA,ENelligan,Janna,sup,1654,0,1,1,1,5,28
24/08/2015,,NA,Feu,Warwick,jun,1441,1,1,1,2,6,29
24/08/2015,,NA,Feu,Warwick,jun,1441,0,1,1,3,7,30
25/08/2015,,NA,Feu,Warwick,jun,1441,1,1,,1,1,31
25/08/2015,,NA,ENelligan,Warwick,jun,1657,1,1,,2,2,32
25/08/2015,,NA,ENelligan,Janna,sup,1654,0,1,,3,3,33
25/08/2015,,NA,Feu,Amumu,jun,1441,0,1,,1,4,34
25/08/2015,19:48,NA,ENelligan,Garen,top,1764,0,0,,1,5,35
25/08/2015,21:45,NA,ENelligan,Warwick,jun,1774,1,0,1,1,6,36
25/08/2015,23:56,NA,Feu,Warwick,jun,,0,1,1,1,7,37
26/08/2015,00:45:00,NA,ENelligan,Warwick,jun,1655,0,1,,2,8,38
26/08/2015,12:19,NA,ENelligan,Xin Zhao,jun,1784,1,0,,1,1,39
26/08/2015,12:55,NA,ENelligan,Warwick,jun,1649,1,1,,2,2,40
26/08/2015,13:44,NA,ENelligan,Malphite,top,1643,1,1,,3,3,41
27/08/2015,20:11,NA,ENelligan,Xin Zhao,jun,1776,0,0,1,1,4,42
27/08/2015,21:02,NA,ENelligan,Warwick,jun,,1,1,1,2,5,43
27/08/2015,21:45,NA,ENelligan,Warwick,jun,,1,1,1,3,6,44
28/08/2015,13:19,NA,ENelligan,Amumu,jun,1768,0,0,,1,1,45
28/08/2015,18:30,NA,ENelligan,Warwick,jun,1697,0,1,,1,2,46
